a	에이
Eskridge	에스크리지
Esmeralda County	에스메랄다 카운티
Esmond	에스먼드
Esofea	에소피
Espanola	에스파놀라
Esperance	에스퍼랜스
essay	에세이
essence	에센스
Essex	에섹스
Essex County	에식스 카운티
Essig	에식
Estancia	에스탄시아
Estell Manor	에스텔 마노
Estella	에스텔라
Estes Park	에스테스 파크
Estherville	에스터빌
Estiffanulga	에스티파눌가
Estill County	에스틸 카운티
Esto	에스토
Estonia	에스토니아
estrogen	에스트레젠
Etha	에타
Ethan	에탄
Ethel	에셀
Ether	에서
Ethernet	이더넷
Ethiopia	에티오피아
etizen	이티즌
Etna	에트나
Etoile	에투알
Eton	이튼
Etowah	에토와
Etowah County	에토와 카운티
Ettrick	에트릭
Eubank	유뱅크
Eucalyptus Hills	유칼립투스 힐스
Euclid	유클리드
Eudora	유도라
Eufala	유팔라
Eufaula	유폴라
Eugene	유진
Eula	율라
Euless	율리스
Eunice	유니스
Eupora	유포라
Eureka	유레카아카타
Eureka County	유레카 카운티
Eureka Springs	유레카스프링스
euro	유로
Euro	유로
Euro-dollars	유러달러
Euronet	유로넷
Europe	유럽
europium	유로퓸
Eurotunnel	유러터널
Eustace	유스터스
Eustis	유스티스
Eutaw	유타
Eutawville	유토빌
Eva	에바
Evaline	에벌린
Evan	에반
Evangeline Parish County	에반젤린 패리시
Evans	에반스
Evans County	에반스 카운티
Evanston	에번스턴
Evansville	에번즈빌
Evart	에바트
Eveleth	에벌리스
even	이븐
even though	이븐도우
evening	이브닝
event	이벤트
Everest	에버리스트
Everett	에버렛
Everglades	에버글레이즈
Everglades City	에버글레이즈 시티
Evergreen	에버그린
Everly	에벌리
evernote	에버노트
Evernote	에버노트
Everson	에버슨
Everton	에버턴
every	에브리
evil	이블
Evinston	에빈스턴
evron	에브런
Ewart	이어트
Ewell	이웰
Ewing	유잉
Excel	엑셀
Excell	엑셀
excellent	엑설런트
Excello	엑셀로
Excelsior	엑셀시어
Excelsior Springs	엑셀시어 스프링스
exchange	익스체인지
Exchange	익스체인지
excite	익사이트
exciting	익사이팅
exclude	익스클루드
Exeter	엑서터
Exie	엑시
Exira	엑시라
Exline	엑슬린
Exmore	엑스모어
expensive	익스펜시브
expert	엑스퍼트
Expo	엑스포
express	익스프레스
extract	엑기스
Extranet	엑스트라넷
eye	아이
eye shadow	아이섀도
Eyota	아이오타
ez flyer	이지플라이어
Ezra	에즈라
f	에프
Fabius	파비우스
Fabric	패브릭
facebook	페이스북
Facebook	페이스북
Fagus	페이거스
Fair Hill	페어 힐
Fair Lakes	페어 레이크스
Fair Oaks	페어 오크스
Fair Plain	페어 플레인
Fairbank	페어뱅크
Fairbanks	페어뱅크스
Fairbanks North Star Borough	페어뱅크스 노스 스타 버러
Fairborn	페어본
Fairburn	페어번
Fairbury	페어베리
Fairchild	페어차일드
Fairdale	페어데일
Fairfax	페어팩스
Fairfax County	페어팩스 카운티
Fairfax Station	페어팩스 스테이션
Fairfield	페어필드
Fairfield County	페어필드 카운티
FairfieldBridgeport	페어필드
Fairhaven	페어헤이븐
Fairholm	페어홀름
Fairhope	페어호프
Fairland	페어랜드
Fairlawn	페어론
Fairlee	페어리
Fairmont	페어몬트
Fairmount	페어마운트
Fairplay	페어플레이
Fairpoint	페어포인트
Fairport	페어포트
Fairview	페어뷰
Fairview Heights	페어뷰 하이츠
Fairview Park	페어뷰 파크
Fairway	페어웨이
Fairy	페어리
Faison	페이슨
Faith	페이스
Falcon	팔콘
Falcon Heights	팔콘 하이츠
Falkland	폴크랜드
Fall Creek	폴 크리크
Fall River	폴리버
Fall River County	폴 리버 카운티
Falling Rock	폴링 록
Falling Water	폴링 워터
Falling Waters	폴링 워터스
Fallis	폴리스
Fallon	폴런
Fallon County	폴런 카운티
Falls	폴즈
Falls Church	폴스 처치
Falls County	폴스 카운티
Fallsburg	폴스버그
Falmouth	팰머스
False River	폴스 리버
Fame	페임
Family Computer	패밀리컴퓨터
Fancher	펜쳐
Fancy Farm	팬시 팜
Fandon	팬던
Fanlew	팬루
Fannin County	패닌 카운티
Fanning Springs	패닝 스프링스
Fanny	파니
Fanshawe	팬셔
fantasy	판타지
Faraday	패러데이
Farber	파버
Fargo	파고
Faribault	페리보우
Faribault County	페리보우 카운티
Farista	파리스타
Farley	팔리
Farmdale	팜데일
Farmer	파머
Farmer City	파머 시티
Farmers	파머스
Farmers Branch	파머스 브랜치
Farmersburg	파머스버그
Farmersville	파머스빌
Farmingdale	파밍데일
Farmington	파밍턴
Farmington Hills	파밍턴 힐스
Farmland	팜랜드
Farmville	팜빌
Farnham	파넘
Farnsworth	판스워스
Faro	파로
Farr West	파 웨스트
Farragut	패러것
Farrar	파라
Farrell	패럴
Farris	패리스
Farson	파스
Farwell	파웰
fascism	파시즘
fascist	파시스트
fashion	패션
fashion model	패션모델
fast	패스트
Fate	페이트
Fatio	파티오
Faucett	포세트
Faulk County	포크 카운티
Faulkner	폴크너
Faulkner County	포크너 카운티
Fauquier County	포키어 카운티
fax	팩스
fax modem	팩스모뎀
Fayette	파이에트
Fayette County	파이에트 카운티
Fayetteville	페이트빌
Fayne Siding	페인 사이딩
Fayston	페이스턴
Fayville	페이빌
FBI	에프비아이
Feather River Park	페더 리버 파크
Featherston	페더스톤
Featherstone	페더스톤
Federal Way	페더럴 웨이
feed	피드
Feesburg	피스버그
feet	피트
Feilding	페일딩
Felda	펠다
Feliciana	펠리시아나
Felton	펠턴
femidom	페미돔
Fenner	페너
Fenton	펜턴
Fentress County	펜트레스 카운티
Fenwick	펜윅
Fenwick Island	펜윅 아일랜드
Ferdinand	퍼디난드
Fergus County	퍼거스 카운티
Fergus Falls	퍼거스 폴스
Ferguson	퍼거슨
fermium	페르뮴
Fern	펀
Fernandina Beach	퍼넌디나비치
Fernbrook	펀브룩
Ferndale	펀데일
Ferney	퍼니
Fernland	펀랜드
Fernley	펀리
Fernwood	펀우드
Ferriday	페리데이
Ferris	페리스
Ferron	페론
Ferry County	페리 카운티
Ferry Landing	페리 랜딩
Fertile	퍼틀
Fessenden	페센든
Festina	페스티나
festival	페스티발
Festus	페스터스
Fever	피버
Fiatt	피아트
Fibre channel	파이버 채널
Fickle	피클
Fiddletown	피들타운
field hockey	필드하키
Fields	필즈
FIFA series	피파시리즈
Fifty Lakes	핍티 레이크스
Fifty-Six	피프티식스
fighting	파이팅
Fiji	피지
Filbert	필버트
file	파일
file system	파일 시스템
Filer	필러
Fillmore	필모어
Fillmore County	필모어 카운티
film	필름
film scanner	필름스캐너
Fincastle	핀캐슬
Fincher	핀처
find	파인드
Findlay	핀들레이
Fingal	핑걸
finger	핑거
Finksburg	핑크스버그
Finland	핀란드
Finley	핀리
Finney	피니
Finney County	피니 카운티
FinTech	핀테크
Fircrest	퍼크레스트
fire wall	파이어월
Firebaugh	파이어보
Firefox	파이어폭스
Firestone	파이어스톤
firm banking	펌뱅킹
firmware	펌웨어
first	퍼스트
Firth	퍼스
Fish Creek	피시 크리크
Fish Haven	피시 헤이븐
Fish Lake	피시 레이크
Fisher County	피셔 카운티
Fishers	피셔스
Fishhawk	피쉬호크
Fishtail	피쉬테일
Fisk	피스크
Fitchburg	피치버그
Fitchville	피치빌
Fitler	피틀러
fitness	피트니스
Fitzgerald	피츠제랄드
Fitzhugh	피츠휴
Fitzpatrick	피츠페트릭
Fitzwilliam	피츠윌리엄
five	파이브
Five Corners	파이브 코너스
Five Forks	파이브 폭스
Five Mile Fork	파이브 마일 포크
Five Points	파이브 포인츠
Fivepointville	파이브포인트빌
Flaco	플라코
Flaghole	플래그홀
Flagler	플래글러
Flagler Beach	플래글러 비치
Flagler County	플래글러 카운티
Flagler Estates	플래글러 에스테이츠
Flagstaff	플래그스태프
Flaherty	플래허티
Flamingo	플라밍고
Flanders	플랜더스
flash	플래시
Flash Animation	플래시애니메이션
flash game	플래시게임
Flash Memory	플래시메모리
Flasher	플래셔
flashgun	플래시건
flashpix	플래시픽스
flask	플라스크
Flat Rock	플랫 록
Flat Top	플랫 톱
Flathead County	플랫헤드 카운티
Flats	플래츠
Flatwoods	플랫우즈
Fleeton	플리턴
Fleming	플레밍
Fleming County	플레밍 카운티
Fleming Island	플레밍 아일랜드
Flemington	플레밍턴
Flensburg	플렌스버그
Fletcher	플레쳐
Flin Flon	플린플론
Flint	플린트
Flint Hill	플린트 힐
Flintstone	플린트스톤
flipboard	플립보드
Flippin	플리핀
floating	플로팅
Floccinaucinihilipilification	플록시노시나이힐리필리피케이션
Floe	플로
Flomaton	플로메이턴
Flora	플로라
Florahome	플로라홈
Florala	플로랄라
Florence	프로렌스
Florence County	플로렌스 카운티
Florid	플로리드
Florida	플로리다
Florida City	플로리다 시티
Floris	플로리스
Florissant	플로리전트
flow	플로우
Flower Mound	플라워 마운드
Flowers	플라워스
Flowery Branch	플라워리 브랜치
Flowood	블로우드
Floyd	플로이드
Floyd County	플로이드 카운티
Floydada	플로이다다
Floydsburg	플로이즈버그
fluorine	플루오린
Flushing	플리싱
flute	플루트
Fluvanna County	플루밴너 카운티
Flynn	플린
FM	에프엠
Foard County	포드 카운티
Fobes Hill	포브스 힐
Foch	포치
Fola	폴라
folder	폴더
Foley	폴리
Folk	포크
Follett	폴레트
Folly Beach	폴리 비치
Folsom	폴섬
Fond du Lac	퐁 뒤 라크
Fond du Lac County	퐁뒤라크 카운티
Fonda	폰다
Fondis	폰디스
Fontana	폰타나
Fontanelle	폰타넬
Fonzo	폰조
foodie	푸디
Foothill Ranch	풋힐 랜치
Footville	풋빌
for	포
Forada	포라다
Foraker	포레이커
Forbes	포브스
Forbus	포버스
Ford	포드
Ford City	포드 시티
Ford County	포드 카운티
Fordland	포드랜드
Fordyce	포다이스
foreign	포린
foreigner	포리너
Foreman	포어맨
Forest	포레스트
Forest City	포레스트 시티
Forest County	포레스트 카운티
Forest Falls	포레스트 폴스
Forest Green	포레스트 그린
Forest Grove	포레스트 그로브
Forest Heights	포레스트 하이츠
Forest Hill	포레스트 힐
Forest Hills	포레스트 힐스
Forest Lake	포레스트 레이크
Forest Park	포레스트 파크
Forest River	포레스트 리버
Foresta	포레스타
Forestburg	포레스트버그
Foreston	포레스턴
Forestport	포레스트포트
Forestville	포레스트빌
Forgan	포건
fork	포크
Fork Union	포크 유니언
Forkland	포크랜드
Forks	포크스
Forman	포먼
Formosa	포모사
Forney	포니
Forrest	포레스트
Forrest City	포레스트시티
Forrest County	포레스트 카운티
Forsyth	포사이스
Forsyth County	포사이스 카운티
Fort Ann	포트 앤
Fort Apugan	아푸간 성채
Fort Atkinson	포트 애킨슨
Fort Bend County	포트벤드 카운티
Fort Benton	포트 벤턴
Fort Bragg	포트 브랙
Fort Coffee	포트 커피
Fort Collins	포트콜린스
Fort Deposit	포르트 디포짓
Fort Dick	포트 딕
Fort Dodge	포트다지
Fort Edward	포트 에드워드
Fort Fairfield	포트 페어필드
Fort Florida	포트 플로리다
Fort Goff	포트 고프
Fort Jones	포트존스
Fort Kent	포트 켄트
Fort Kissimmee	포트키시미
Fort Klamath	포트 클래머스
Fort Laramie	포트 래러미
Fort Lauderdale	포트로더데일
Fort Lewis	포트 루이스
Fort Lonesome	포트 론섬
Fort Lupton	포트 럽턴
Fort Madison	포트 매디슨
Fort McCoy	포트매코이
Fort Meade	포트미드
Fort Mill	포트 밀
Fort Monroe	포트먼로
Fort Morgan	포트모건
Fort Myers	포트마이어스
Fort Myers Beach	포트 마이어스 비치
Fort Ogden	포트 오그덴
Fort Payne	포르트페인
Fort Pierce	포트피어스
Fort Ripley	포트 라이플리
Fort Rock	포트 록
Fort Scott	포트 스콧
Fort Smith	포트스미스
Fort Soledad	솔래다드 성채
Fort Sumner	포트 섬너
Fort Supply	포트 서플라이
Fort Union	포트유니언
Fort Valley	포트 밸리
Fort Walton Beach	포트월턴비치
Fort Ward	포트 워드
Fort Wayne	포트웨인
Fort White	포트 화이트
Fort Worth	포트워스
Fort Wright	포트 라이트
Fort Yukon	포트유콘
FORTRAN	포트란
fortress blue	포트리스블루
Fortuna	포르투나
Forum	포럼
Foscoe	포스코
Foshee	포쉐
Foss	포스
Fossil	포실
Fosston	포스턴
Foster	포스터
Foster City	포스터 시티
Foster County	포스터 카운티
Fosters	포스터스
Fostoria	포스토리아
foundation	파운데이션
Fountain	파운틴
Fountain City	파운틴 시티
Fountain County	파운틴 카운티
Fountain Hills	파운턴 힐스
Fountain Valley	파운턴 밸리
four	포
Four Corners	포 코너스
Four Mile	포 마일
Four Oaks	포 오크스
Four Seasons	포 시즌스
Fourteen	포틴
Fowler	파울러
Fowlers Bluff	파울러즈 블러프
Fox	폭스
Fox Chase	폭스 체이스
Fox Creek	폭스 크리크
Fox Lake	폭스 레이크
Fox River	폭스리버
Foxboro	폭스버러
Foxborough	폭스버러
Foxhome	폭스홈
Foxton	폭스턴
Fragaria	프래저리아
frame relay	프레임릴레이
Framingham	프레이밍햄
France	프랑스
Frances	프랜시스
Francis	프랜시스
Francisco	프란시스코
francium	프랑슘
Franconia	프랭코니아
Frank	프랭크
Frankenmuth	프랑켄머스
Frankenstein	프랑켄스타인
Frankford	프랭크퍼드
Frankfort	프랭크퍼트
Frankfurt	프랑크푸르트
Franklin	프랭클린
Franklin County	프랭클린 카운티
Franklin Parish	프랭클린 패리시
Franklin Park	프랭클린 파크
Franklintown	프랭클린타운
Franklinville	프랭클린빌
Frankville	프랭크빌
Frannie	프래니
Franzen	프랜즌
Fraser	프레이저
Frazee	프레이지
Frazier	프레이저
Fred	프레드
Frederica	프레더리카
Frederick	프레더릭
Frederick County	프레더릭 카운티
Fredericksburg	프레데릭스버그
Fredericktown	프레드릭타운
Fredericton	프레더릭턴
Frederika	프레데리카
Fredonia	프레도니아
free	프리
Free Hill	프리 힐
Free Home	프리 홈
free software	프리소프트웨어
Freeborn County	프리본 카운티
Freedom	프리덤
Freehold Borough	프리홀드 버러
freelancer	프리랜서
Freelandville	프리랜드빌
Freeman	프리먼
Freeport	프리포트
Freer	프리어
Freestone	프리스톤
Freestone County	프리스톤 카운티
Freetown	프리타운
Fremantle	프리맨틀
Fremont	프리몬트
Fremont County	프레몬트 카운티
Fremont Hills	프레몬트 힐스
French Camp	프렌치 캠프
French Corral	프렌치 코랄
French Lick	프렌치 릭
French Quarter	프렌치쿼터
French Village	프렌치 빌리지
Frenchton	프렌치턴
Frenchtown	프렌치타운
Frenchville	프렌치빌
Fresno	프레즈노
Fresno County	프레즈노 카운티
Freyburg	프레이버그
Friday Harbor	프라이데이 하버
Fridley	프라이들리
Friedrichshafen	프리드리히스하펜
friend	프렌드
Friend	프렌드
Friendly	프렌들리
friends	프렌즈
Friendship	프랜드십
Friendsville	프렌즈빌
Fries	프리스
Frink	프링크
Frio County	프리오 카운티
Frisco	프리스코
Frisco City	프리스코 시티
Fritch	프리치
Frizzelburg	프리즐버그
Frog Creek	프록 크리크
Frohna	프로나
Froid	프로이드
from	프롬
Front Royal	프런트 로열
Frontenac	프론트낙
Frontier	프론티어
Frontier County	프런티어 카운티
Frost	프로스트
Frostburg	프로스트버그
Frostproof	프로스트프루프
Fruita	프루타
Fruithurst	프루트허스트
Fruitland	프루틀랜드
Fruitvale	프룻베일
Fruto	프루토
fry	프라이
Fryburg	프라이버그
Frye Island	프라이 아일랜드
Fryeburg	프라이버그
frypan	프라이팬
Ft Lauderdale	포트 로더데일
Ft McMurray	포트 맥머레이
Ft Smith	포트스미스
Ft St John	포트 세인트 존
Ft Walton Beach	포트 월튼비치
Ft Wayne	포트웨인
Ft. Bidwell	포트 비드웰
Ft. Green	포트 그린
Fudge	퍼지
Fulda	풀다
Fullerton	풀러턴
Fulton	풀턴
Fulton County	풀턴 카운티
function	펑션
Funk	펑크
Fuquay-Varina	퍼퀘이 버리나
Furley	펄리
Furman	퍼먼
Furnace	퍼니스
Furnas County	퍼나스 카운티
futsal	풋살
Future City	퓨처 시티
Fyffe	파이피
g	지
Gaastra	개스트라
Gabbs	갭스
Gables	게이블즈
Gaborone	가보로네
Gackle	개클
gadolinium	가돌리늄
Gadsden	개즈던
Gadsden County	개즈던 카운티
Gaffney	개프니
gag	개그
Gage	게이지
Gage County	게이지 카운티
gagman	개그맨
Gahanna	가하나
Gail	게일
Gaines	게인즈
Gaines County	게인즈 카운티
Gainesville	게인즈빌
Gaither	게이더
Gaithersburg	게이더스버그
galaga	갤러그
Galatia	갈라티아
galaxy	갤럭시
galaxy alpha	갤럭시 알파
Gale	게일
Galen	갈렌
Galena	걸리나
Galena Knolls	갈레나 놀스
Galesburg	게일즈버그
Galice	갤리스
Galion	갈리언
Gallagher	갤러거
Gallant	갤런트
Gallatin	갤러틴
Gallatin County	갤러틴 카운티
Gallaway	갤러웨이
gallery	갤러리
Gallia County	갈유 카운티
Gallipolis	갈리폴리스
gallium	갈륨
Galloway	갤러웨이
gallry	갤러리
Gallup	갤럽
Galt	골트
Galva	갈바
Galveston	갤버스턴
Galveston County	갤버스턴 카운티
Galvez	갈베즈
Galvin	갤빈
Gamaliel	가말리엘
gambel	갬블
Gambell	갬벨
Gamber	갬버
game	게임
game over	게임 오버
gamevil	게임빌
Gamewell	게임웰
gamma	감마
Gander	갠더
Gandhiism	간디즘
Gandy	간디
gang	갱
Ganja	간자
Ganotown	개노타운
Gans	간스
Gantt	갠트
Gantts Quarry	갠츠쿼리
gap	갭
Gapland	게이플랜드
Garber	가버
Garberville	가버빌
