a	에이	ei
Damariscotta	다마리스코타	tamalisɯkʰotʰa
Damascus	다마스커스	tamasɯkʰʌsɯ
Dammam	다맘	tamam
damping	댐핑	tɛmpʰiŋ
Damscus	다마스커스	tamasɯkʰʌsɯ
Dana	다나	tana
Danbury	댄베리	tɛnbeli
Danby	댄비	tɛnbi
dance	댄스	tɛns͈ɯ
Dancehall	댄스홀	tɛns͈ɯhol
dancer	댄서	tɛns͈ʌ
Danciger	댄시거	tɛns͈igʌ
DANDONG	단동	tandoŋ
Dandridge	댄드리지	tɛndɯlid͡ɕi
Dane	데인	tein
Danese	대니스	tɛnisɯ
Danforth	댄포스	tɛnpʰosɯ
Daniel	다니엘	taniel
Daniels	대니얼스	tɛniʌls͈ɯ
Dannemora	댄모라	tɛnmola
Dannevirke	데니버크	tenibʌkʰɯ
Dansville	댄스빌	tɛns͈ɯbil
Dante	단테	tantʰe
Dantoni	댄토니	tɛntʰoni
Danube	다뉴브	tanjubɯ
Danvers	댄버스	tɛnbʌsɯ
Danville	댄빌	tɛnbil
Daphne	대프니	tɛpʰɯni
Darby	다비	tabi
Dardanelle	다르다넬	talɯdanel
Dare	데어	teʌ
Darfur	달퍼	talpʰʌ
Dargan	다건	tagʌn
Dargaville	다가빌	tagabil
Darien	데리언	teliʌn
dark	다크	takʰɯ
Darling	달링	talliŋ
Darlington	달링턴	talliŋtʰʌn
Darlingtonia	달링토니아	talliŋtʰonia
Darmstadt	다름슈타트	talɯms͈jutʰatʰɯ
Darrington	달링턴	talliŋtʰʌn
Darrtown	다타운	tatʰaun
dart	다트	tatʰɯ
Dartmouth	다트머스	tatʰɯmʌsɯ
darwin	다윈	tawin
Darwin	다윈	tawin
Dasher	대셔	tɛsjʌ
data	데이터	teitʰʌ
date	데이트	teitʰɯ
Datto	다토	tatʰo
Davao	다바오	tabao
Davenport	대번포트	tɛbʌnpʰotʰɯ
David	데이비드	teibidɯ
Davidson	데이비슨	teibisɯn
Davie	데이비	teibi
Davin	다빈	tabin
Davis	데이비스	teibisɯ
Davison	데이비슨	teibisɯn
Davisville	데이비스빌	teibisɯbil
Davy	데이비	teibi
Dawes	도스	tosɯ
Dawn	돈	ton
Dawson	도슨	tosɯn
Dawsonville	도슨빌	tosɯnbil
day	데이	tei
Day	데이	tei
Dayton	데이턴	teitʰʌn
Dayville	데이빌	teibil
Dazey	데이지	teid͡ɕi
DCinside	디시인사이드	tisiins͈aidɯ
Deacon	디컨	tikʰʌn
dead	데드	tedɯ
deadeye	데드아이	tedɯai
Deadhorse	데드호스	tedɯhosɯ
Deadwood	데드우드	tedɯudɯ
dealer	딜러	tillʌ
Dearborn	디어본	tiʌbon
Dearing	디어링	tiʌliŋ
Deary	디어리	tiʌli
Deatsville	디츠빌	tit͡ɕʰɯbil
Deaver	디버	tibʌ
DeBary	드베리	tɯbeli
Deblois	드블로이스	tɯbɯlloisɯ
debug	디버그	tibʌgɯ
debut	데뷔	tebwi
Decatur	디케이터	tikʰeitʰʌ
decibel	데시벨	tesibel
decided	디사이디드	tisaididɯ
Decker	데커	tekʰʌ
Deckers	데커스	tekʰʌsɯ
Declo	데클로	tekʰɯllo
Decorah	데코라	tekʰola
Decorra	데코라	tekʰola
Decota	드코타	tɯkʰotʰa
Dedham	데덤	tedʌm
Dee	디	ti
Deepstep	딥스텝	tips͈ɯtʰep
Deepwater	딥워터	tibwʌtʰʌ
Deer	디어	tiʌ
Deerfield	디어필드	tiʌpʰildɯ
Deering	디어링	tiʌliŋ
Deerland	디어랜드	tiʌlɛndɯ
Deerpark	디어파크	tiʌpʰakʰɯ
Deerwood	디어우드	tiʌudɯ
Deeson	디슨	tisɯn
Defeated	디피티드	tipʰitʰidɯ
Defiance	디파이언스	tipʰaiʌns͈ɯ
Defoe	드포	tɯpʰo
Deford	디포드	tipʰodɯ
degausser	디가우서	tigausʌ
Dehesa	데헤사	tehesa
DeKalb	드칼브	tɯkʰalbɯ
Delafield	델라필드	tellapʰildɯ
Delaney	델라니	tellani
Delano	딜라노	tillano
Delavan	델러번	tellʌbʌn
Delaware	델라웨어	tellaweʌ
Delena	델레나	tellena
Delft	델프트	telpʰɯtʰɯ
Delhi	델하이	telhai
Delia	딜리아	tillia
Delight	딜라이트	tillaitʰɯ
Dell	델	tel
Dellview	델뷰	telbju
Delmar	델마	telma
Delmont	델몬트	telmontʰɯ
Deloit	델로이트	telloitʰɯ
Delong	들롱	tɯlloŋ
Delphi	델파이	telpʰai
Delphos	델포스	telpʰosɯ
Delray	델레이	tellei
Delta	델타	teltʰa
Delton	델턴	teltʰʌn
Deltona	델토나	teltʰona
deluxe	디럭스	tilʌks͈ɯ
demand	디맨드	timɛndɯ
Deming	더밍	tʌmiŋ
Democrat	데모크랏	temokʰɯlat
demonstration	데모	temo
Demopolis	데모폴리스	temopʰollisɯ
Demorest	데모레스트	temolesɯtʰɯ
Dempsey	뎀프시	tempʰɯsi
Dempster	뎀프스터	tempʰɯsɯtʰʌ
Dendron	덴드론	tendɯlon
Denham	덴햄	tenhɛm
denim	데님	tenim
Denison	데니슨	tenisɯn
Denizli	데니즐리	tenid͡ɕɯlli
Denmark	덴마크	tenmakʰɯ
Dennard	드나드	tɯnadɯ
Denning	데닝	teniŋ
Dennis	데니스	tenisɯ
Denpasar	덴파사르	tenpʰasalɯ
Dent	덴트	tentʰɯ
dental	덴탈	tentʰal
Denton	덴턴	tentʰʌn
Dentsville	덴츠빌	tent͡ɕʰɯbil
Denver	덴버	tenbʌ
Denzer	덴저	tend͡ɕʌ
Deora	디오라	tiola
Depew	드퓨	tɯpʰju
Deport	디포트	tipʰotʰɯ
Deposit	디포짓	tipʰod͡ɕit
Deputy	데퓨티	tepʰjutʰi
DeQuincy	드퀸시	tɯkʰwins͈i
Derby	더비	tʌbi
DeRidder	데리더	telidʌ
Derma	더마	tʌma
Dermott	더모트	tʌmotʰɯ
Derry	데리	teli
DeRuyter	드라이터	tɯlaitʰʌ
Derwent	더웬트	tʌwentʰɯ
Derwood	더우드	tʌudɯ
Descanso	데스칸소	tesɯkʰans͈o
Deschutes	더슈츠	tʌsjut͡ɕʰɯ
Deseret	데자릿	ted͡ɕalit
design	디자인	tid͡ɕain
designer	디자이너	tid͡ɕainʌ
desk	데스크	tesɯkʰɯ
Desloge	데스로지	tesɯlod͡ɕi
DeSmet	데스멧	tesɯmet
DeSoto	디소토	tisotʰo
dessert	디저트	tid͡ɕʌtʰɯ
dessin	데생	tesɛŋ
Destin	데스틴	tesɯtʰin
Detour	디투어	titʰuʌ
Detroit	디트로이트	titʰɯloitʰɯ
developer	디벨로퍼	tibellopʰʌ
development	디벨롭먼트	tibellommʌntʰɯ
Deventer	디벤터	tibentʰʌ
Devereux	데브러	tebɯlʌ
Deverre	드베르	tɯbelɯ
Devine	디바인	tibain
Devol	디볼	tibol
Devonport	데번포트	tebʌnpʰotʰɯ
Devonshire	데본샤이어	tebons͈jaiʌ
DevOps	데브옵스	tebɯops͈ɯ
Devotion	디보션	tibosjʌn
Dew	듀	tju
Dewar	듀어	tjuʌ
Dewey	듀이	tjui
DeWitt	드위트	tɯwitʰɯ
Dewmaine	듀메인	tjumein
Dexter	덱스터	teks͈ɯtʰʌ
Dhaka	다카	takʰa
dharma	달마	talma
Dhrystone	드라이스톤	tɯlaisɯtʰon
diablo	디아블로	tiabɯllo
Diagonal	다이아고날	taiagonal
dial	다이알	taial
dialogue	다이얼로그	taiʌllogɯ
diamond	다이아몬드	taiamondɯ
Diamond	다이아몬드	taiamondɯ
Diamondville	다이아몬드빌	taiamondɯbil
Diana	다이애나	taiɛna
diary	다이어리	taiʌli
Diaz	디아즈	tiad͡ɕɯ
Dibble	디블	tibɯl
Diboll	디볼	tibol
Dickens	디킨스	tikʰins͈ɯ
Dickerson	디커슨	tikʰʌsɯn
Dickert	디커트	tikʰʌtʰɯ
Dickey	디키	tikʰi
Dickinson	디킨슨	tikʰins͈ɯn
Dickson	딕슨	tiks͈ɯn
dictionary	딕셔너리	tiks͈jʌnʌli
Dierks	더크스	tʌkʰɯsɯ
diet	다이어트	taiʌtʰɯ
Dietrich	디트릭	titʰɯlik
digerati	디저라티	tid͡ɕʌlatʰi
digest	다이제스트	taid͡ɕesɯtʰɯ
Dighton	다이턴	taitʰʌn
digital	디지털	tid͡ɕitʰʌl
digitizer	디지타이저	tid͡ɕitʰaid͡ɕʌ
Dike	다이크	taikʰɯ
dill	딜	til
Dillard	딜라드	tilladɯ
Dillingham	딜링햄	tilliŋhɛm
Dillon	딜런	tillʌn
Dills	딜스	tils͈ɯ
Dillwyn	딜윈	tilwin
Dilworth	딜워스	tilwʌsɯ
Dimock	디모크	timokʰɯ
Dingy	딩이	tiŋi
Dinosaur	다이노소어	tainosoʌ
Dinuba	디누바	tinuba
diode	다이오드	taiodɯ
Diomede	디오메드	tiomedɯ
dioxin	다이옥신	taioks͈in
Dipple	디플	tipʰɯl
direct	다이렉트	tailektʰɯ
director	디렉터	tilektʰʌ
DirectX	다이렉트엑스	tailektʰɯeks͈ɯ
Disabler	디스에이블러	tisɯeibɯllʌ
disco	디스코	tisɯkʰo
discommunication	디스커뮤니케이션	tisɯkʰʌmjunikʰeisjʌn
disk	디스크	tisɯkʰɯ
diskette	디스켓	tisɯkʰet
Disko	디스코	tisɯkʰo
disney	디즈니	tid͡ɕɯni
Disney	디즈니	tid͡ɕɯni
Disneyland	디즈니랜드	tid͡ɕɯnilɛndɯ
Dithering	디더링	tidʌliŋ
diver	다이버	taibʌ
Divide	디바이드	tibaidɯ
diving	다이빙	taibiŋ
DivX	디빅스	tibiks͈ɯ
Dix	딕스	tiks͈ɯ
Dixie	딕시	tiks͈i
Dixon	딕슨	tiks͈ɯn
Diyarbakir	디야르바키르	tijalɯbakʰilɯ
DJ	디제이	tid͡ɕei
Djibouti	지부티	t͡ɕibutʰi
Dnepropetrovsk	드네프로페트로브스크	tɯnepʰɯlopʰetʰɯlobɯsɯkʰɯ
Doanville	돈빌	tonbil
Dobbin	도빈	tobin
Dobbins	도빈스	tobins͈ɯ
Dobson	돕슨	tops͈ɯn
dock	독	tok
Dockery	도커리	tokʰʌli
docking	도킹	tokʰiŋ
doctor	닥터	taktʰʌ
doctrine	독트린	toktʰɯlin
documentary	다큐멘터리	takʰjumentʰʌli
Dodd	도드	todɯ
Dodds	도즈	tod͡ɕɯ
Dodgeville	도지빌	tod͡ɕibil
Dodson	도슨	tosɯn
Doerun	도런	tolʌn
dog	도그	togɯ
Dogtown	독타운	toktʰaun
Dogue	도그	togɯ
Doha	도하	toha
dollar	달러	tallʌ
dolly	달리	talli
Dolomite	돌로미티	tollomitʰi
Dolores	덜로리스	tʌllolisɯ
dolphin	돌핀	tolpʰin
Dolton	돌턴	toltʰʌn
domain	도메인	tomein
dome	돔	tom
Domestic	도메스틱	tomesɯtʰik
Dominica	도미니카공화국	tominikʰagoŋhwaguk
Donahue	도나휴	tonahju
Donald	도널드	tonʌldɯ
Donalds	도널즈	tonʌld͡ɕɯ
Donaldson	도널드슨	tonʌldɯsɯn
Donalsonville	도널슨빌	tonʌls͈ɯnbil
Dongola	동골라	toŋgolla
DONGSHENG	동성	toŋs͈ʌŋ
Donie	도니	toni
Donna	도나	tona
Donnellson	도넬슨	tonels͈ɯn
Donnelly	도넬리	tonelli
Donnybrook	도니브룩	tonibɯluk
Doole	둘	tul
Dooling	둘링	tulliŋ
Doolittle	둘리틀	tullitʰɯl
Doon	둔	tun
door	도어	toʌ
doping	도핑	topʰiŋ
Dopp	도프	topʰɯ
Dora	도라	tola
Doral	도랄	tolal
Doran	도란	tolan
Doraville	도라빌	tolabil
Dorcas	도르카스	tolɯkʰasɯ
Dorchester	도체스터	tot͡ɕʰesɯtʰʌ
Dorrance	도런스	tolʌns͈ɯ
Dorris	도리스	tolisɯ
Dorset	도셋	toset
Dorsey	도시	tosi
Dothan	도탄	totʰan
Doty	도티	totʰi
Douala	두알라	tualla
double	더블	tʌbɯl
Dougherty	도허티	tohʌtʰi
doughnut	도넛	tonʌt
Douglas	더글러스	tʌgɯllʌsɯ
Douglass	더글러스	tʌgɯllʌsɯ
Douglassville	더글라스빌	tʌgɯllasɯbil
Douglasville	더글러스빌	tʌgɯllʌsɯbil
Dover	도버	tobʌ
Dovray	도브레이	tobɯlei
Dowagiac	도웨지액	towed͡ɕiɛk
dowm	다운	taun
down	다운	taun
Downer	다우너	taunʌ
Downey	다우니	tauni
Downieville	다우니빌	taunibil
Downing	다우닝	tauniŋ
download	다운로드	taullodɯ
Downs	다운스	tauns͈ɯ
downsizing	다운사이징	tauns͈aid͡ɕiŋ
downtown	다운타운	tauntʰaun
Dows	다우즈	taud͡ɕɯ
Doyle	도일	toil
Doylestown	도일스타운	toils͈ɯtʰaun
Dozier	도지어	tod͡ɕiʌ
Dracut	드라컷	tɯlakʰʌt
drag	드래그	tɯlɛgɯ
dragon	드래곤	tɯlɛgon
Dragoon	드래군	tɯlɛgun
Drake	드레이크	tɯleikʰɯ
drama	드라마	tɯlama
Draper	드레퍼	tɯlepʰʌ
draping	드레핑	tɯlepʰiŋ
drawing	드로잉	tɯloiŋ
Drayton	드레이턴	tɯleitʰʌn
dream	드림	tɯlim
Dreamland	드림랜드	tɯlimnɛndɯ
dreamwiz	드림위즈	tɯlimwid͡ɕɯ
dreamx	드림엑스	tɯlimeks͈ɯ
Dresden	드레스덴	tɯlesɯden
Dresher	드레셔	tɯlesjʌ
dress	드레스	tɯlesɯ
Dresser	드레서	tɯlesʌ
dressing	드레싱	tɯlesiŋ
dressingroom	드레싱룸	tɯlesiŋnum
Drew	드루	tɯlu
Drexel	드렉셀	tɯleks͈el
Driftwood	드리프트우드	tɯlipʰɯtʰɯudɯ
Driggs	드릭스	tɯliks͈ɯ
drill	드릴	tɯlil
drink	드링크	tɯliŋkʰɯ
Driscoll	드리스콜	tɯlisɯkʰol
drive	드라이브	tɯlaibɯ
driver	드라이버	tɯlaibʌ
Drivers	드라이버스	tɯlaibʌsɯ
Droop	드룹	tɯlup
dropbox	드롭박스	tɯlopp͈aks͈ɯ
drum	드럼	tɯlʌm
Drummond	드러먼드	tɯlʌmʌndɯ
Drummondville	드러먼드빌	tɯlʌmʌndɯbil
Drumright	드럼라이트	tɯlʌmnaitʰɯ
Drury	드러라	tɯlʌla
dry	드라이	tɯlai
Dryad	드라이어드	tɯlaiʌdɯ
drybattery	드라이배터리	tɯlaibɛtʰʌli
Dryden	드라이든	tɯlaidɯn
dryer	드라이어	tɯlaiʌ
Drytown	드라이타운	tɯlaitʰaun
dsniff	디스니프	tisɯnipʰɯ
dual	듀얼	tjuʌl
Duane	두에인	tuein
Duarte	두아르테	tualɯtʰe
Dubach	더바크	tʌbakʰɯ
Dubai	두바이	tubai
dubbing	더빙	tʌbiŋ
Dubbo	더보	tʌbo
Dubbs	덥스	tʌps͈ɯ
Dublin	더블린	tʌbɯllin
Dubois	두보아	tuboa
DuBois	뒤부아	twibua
Dubuque	더뷰크	tʌbjukʰɯ
Duchesne	뒤센	twisen
duct	닥트	taktʰɯ
Dudley	더들리	tʌdɯlli
Duette	듀엣	tjuet
Duffau	더포	tʌpʰo
Duffield	더프필드	tʌpʰɯpʰildɯ
Dufur	더퍼	tʌpʰʌ
Dugdale	덕데일	tʌkt͈eil
Dugger	더거	tʌgʌ
Duke	듀크	tjukʰɯ
Dulles	덜레스	tʌllesɯ
Duluth	덜루스	tʌllusɯ
Dulzura	둘주라	tuld͡ɕula
Dumas	뒤마	twima
Dumfries	덤프리스	tʌmpʰɯlisɯ
Dummer	더머	tʌmʌ
dummy	더미	tʌmi
Dumont	듀몬트	tjumontʰɯ
dumper	덤퍼	tʌmpʰʌ
dumping	덤핑	tʌmpʰiŋ
Dunavant	더나번트	tʌnabʌntʰɯ
Dunbar	던바	tʌnba
Duncan	던컨	tʌnkʰʌn
Dundas	던다스	tʌndasɯ
Dundee	던디	tʌndi
Dundon	던든	tʌndɯn
Dunedin	더니든	tʌnidɯn
Dungeness	던지니스	tʌnd͡ɕinisɯ
DUNHUANG	둔황	tunhwaŋ
Dunkel	둥켈	tuŋkʰel
Dunkirk	던커크	tʌnkʰʌkʰɯ
Dunlap	던랩	tʌllɛp
Dunmore	던모어	tʌnmoʌ
Dunn	던	tʌn
Dunnegan	던건	tʌngʌn
Dunnell	더넬	tʌnel
Dunnellon	두넬론	tunellon
Dunnigan	더니건	tʌnigʌn
Dunns	던즈	tʌnd͡ɕɯ
Dunnville	던빌	tʌnbil
Dunsmuir	던스뮤어	tʌns͈ɯmjuʌ
Dunstable	던스터블	tʌns͈ɯtʰʌbɯl
Dunwoody	던우디	tʌnudi
duo	듀오	tjuo
Dupont	듀폰트	tjupʰontʰɯ
DuPont	듀폰	tjupʰon
Dupree	듀프리	tjupʰɯli
Duquesne	듀케인	tjukʰein
Duquette	듀켓	tjukʰet
Durand	더랜드	tʌlɛndɯ
durango	듀랑고	tjulaŋgo
Durango	두랑고	tulaŋgo
Durant	듀란트	tjulantʰɯ
Durban	더반	tʌban
Durbin	더빈	tʌbin
Durgon	더건	tʌgʌn
Durham	더럼	tʌlʌm
durian	두리안	tulian
during	듀링	tjuliŋ
Durkee	더키	tʌkʰi
Dushanbe	두산베	tusanbe
dusky	더스키	tʌsɯkʰi
Duson	두손	tuson
Dusseldorf	뒤셀도르프	twiseldolɯpʰɯ
Dustin	더스틴	tʌsɯtʰin
Dusty	더스티	tʌsɯtʰi
Dutchtown	더치타운	tʌt͡ɕʰitʰaun
Dutton	더턴	tʌtʰʌn
Duvall	듀발	tjubal
Duxbury	덕스베리	tʌks͈ɯbeli
Dwight	드와이트	tɯwaitʰɯ
Dwyer	드위어	tɯwiʌ
Dyal	다일	tail
Dyckesville	다익스빌	taiks͈ɯbil
Dycusburg	다이커스버그	taikʰʌsɯbʌgɯ
Dyer	다이어	taiʌ
Dyersville	다이어스빌	taiʌsɯbil
Dyess	다이스	taisɯ
Dyke	다이크	taikʰɯ
Dykersburg	다이커스버그	taikʰʌsɯbʌgɯ
dynamic	다이내믹	tainɛmik
Dysart	디서트	tisʌtʰɯ
dysprosium	디스프로슘	tisɯpʰɯlosjum
dystopia	디스토피아	tisɯtʰopʰia
e	이	i
Eads	이즈	id͡ɕɯ
Eagan	이건	igʌn
Eagar	이거	igʌ
Eagle	이글	igɯl
Eagleville	이글빌	igɯlbil
Eakly	에클리	ekʰɯlli
ear	이어	iʌ
Earl	얼	ʌl
Earle	얼	ʌl
Earlham	얼햄	ʌlhɛm
Earling	얼링	ʌlliŋ
Earlington	얼링턴	ʌlliŋtʰʌn
Earlton	얼튼	ʌltʰɯn
Earlville	얼빌	ʌlbil
Early	얼리	ʌlli
Earnshaw	언쇼	ʌns͈jo
Earp	어프	ʌpʰɯ
earphone	이어폰	iʌpʰon
earring	이어링	iʌliŋ
earth	어스	ʌsɯ
Easley	이슬리	isɯlli
East	이스트	isɯtʰɯ
Eastborough	이스트버러	isɯtʰɯbʌlʌ
Eastbrook	이스트브룩	isɯtʰɯbɯluk
Eastchester	이스트체스터	isɯtʰɯt͡ɕʰesɯtʰʌ
Eastgate	이스트게이트	isɯtʰɯgeitʰɯ
Eastham	이스텀	isɯtʰʌm
Easthampton	이스트햄프턴	isɯtʰɯhɛmpʰɯtʰʌn
Eastlake	이스트레이크	isɯtʰɯleikʰɯ
Eastland	이스트랜드	isɯtʰɯlɛndɯ
Eastman	이스트먼	isɯtʰɯmʌn
Easton	이스턴	isɯtʰʌn
Eastover	이스토버	isɯtʰobʌ
Eastport	이스포트	isɯpʰotʰɯ
Eastvale	이스트베일	isɯtʰɯbeil
Eastville	이스트빌	isɯtʰɯbil
Eaton	이턴	itʰʌn
Eatonville	이턴빌	itʰʌnbil
Ebenezer	에버니저	ebʌnid͡ɕʌ
ebrand	이브랜드	ibɯlɛndɯ
Ebro	에브로	ebɯlo
ecard	이카드	ikʰadɯ
Eccles	에클레스	ekʰɯllesɯ
Echols	에콜스	ekʰols͈ɯ
Eckerty	엑커티	ekkʰʌtʰi
Eckford	엑포드	ekpʰodɯ
Eckley	에클리	ekʰɯlli
Eclectic	에클렉틱	ekʰɯllektʰik
economy	이코노미	ikʰonomi
Economy	이코노미	ikʰonomi
Ecru	에크루	ekʰɯlu
ecstasy	엑스터시	eks͈ɯtʰʌsi
Ector	엑터	ektʰʌ
Ecuador	에콰도르	ekʰwadolɯ
Eddington	에딩턴	ediŋtʰʌn
Eddy	에디	edi
Eddyville	에디빌	edibil
Edelstein	에델스타인	edels͈ɯtʰain
Eden	에덴	eden
Edgar	에드거	edɯgʌ
Edgartown	에드가타운	edɯgatʰaun
edge	엣지	ett͈͡ɕi
Edge	엣지	ett͈͡ɕi
Edgecomb	에지콤	ed͡ɕikʰom
Edgehill	에지힐	ed͡ɕihil
Edgerton	에저턴	ed͡ɕʌtʰʌn
Edgewater	에지워터	ed͡ɕiwʌtʰʌ
Edgewood	에지우드	ed͡ɕiudɯ
Edgington	에징턴	ed͡ɕiŋtʰʌn
Edina	에디나	edina
Edinburg	에딘버그	edinbʌgɯ
Edinburgh	에딘버그	edinbʌgɯ
Edison	에디슨	edisɯn
editor	에디터	editʰʌ
Edmeston	에드메스턴	edɯmesɯtʰʌn
Edmond	에드먼드	edɯmʌndɯ
Edmonds	에드먼즈	edɯmʌnd͡ɕɯ
Edmondson	에드먼드슨	edɯmʌndɯsɯn
Edmonston	에드먼스턴	edɯmʌns͈ɯtʰʌn
Edmonton	에드먼턴	edɯmʌntʰʌn
Edmore	에드모어	edɯmoʌ
Edmund	에드먼드	edɯmʌndɯ
Edna	에드나	edɯna
Edom	에돔	edom
Edson	에드슨	edɯsɯn
education	에듀케이션	edjukʰeisjʌn
Edwards	에드워즈	edɯwʌd͡ɕɯ
Edwardsville	에드워즈빌	edɯwʌd͡ɕɯbil
Eek	에크	ekʰɯ
effect	이펙트	ipʰektʰɯ
Effie	에피	epʰi
Effingham	에핑엄	epʰiŋʌm
Efland	에플랜드	epʰɯllɛndɯ
Egan	이건	igʌn
Eggleston	이글스턴	igɯls͈ɯtʰʌn
Eglantine	이글란타인	igɯllantʰain
ego	에고	ego
egoism	에고이즘	egoid͡ɕɯm
Egremont	에그리먼트	egɯlimʌntʰɯ
Egypt	이집트	id͡ɕiptʰɯ
Ehrhardt	에르하르트	elɯhalɯtʰɯ
Eileen	에일린	eillin
einsteinium	아인슈타이늄	ains͈jutʰainjum
Eisenstein	아인스타인	ains͈ɯtʰain
Eitzen	잇젠	itt͈͡ɕen
Ekaterinburg	예카테린부르크	jekʰatʰelinbulɯkʰɯ
Ekin	에킨	ekʰin
Ekron	에크런	ekʰɯlʌn
Elaine	일레인	illein
Elana	엘라나	ellana
elastica	엘라스티카	ellasɯtʰikʰa
Elazig	에라지그	elad͡ɕigɯ
Elba	엘바	elba
Elberfeld	엘버펠드	elbʌpʰeldɯ
Elberon	엘버런	elbʌlʌn
Elbert	엘버트	elbʌtʰɯ
Elberta	엘버타	elbʌtʰa
Elbing	엘빙	elbiŋ
Elbridge	엘브리지	elbɯlid͡ɕi
Elcho	엘코	elkʰo
Elco	엘코	elkʰo
Eldon	엘던	eldʌn
Eldora	엘도라	eldola
Eldorado	엘도라도	eldolado
Eldridge	엘드리지	eldɯlid͡ɕi
Eleanor	일리노어	illinoʌ
elegant	엘리건트	elligʌntʰɯ
element	엘리먼트	ellimʌntʰɯ
Eleroy	엘로이	elloi
elevator	엘리베이터	ellibeitʰʌ
eleven	일레븐	illebɯn
elf	엘프	elpʰɯ
Elgin	엘진	eld͡ɕin
Elida	엘리다	ellida
Elijah	엘리자	ellid͡ɕa
Elim	엘림	ellim
Eliot	엘리엇	elliʌt
Eliza	엘리자	ellid͡ɕa
Elizabeth	엘리자베스	ellid͡ɕabesɯ
Elizabethtown	엘리자베스타운	ellid͡ɕabesɯtʰaun
Elk	엘크	elkʰɯ
Elkader	엘캐더	elkʰɛdʌ
Elkhart	엘크하트	elkʰɯhatʰɯ
Elkhorn	엘크혼	elkʰɯhon
Elkin	엘킨	elkʰin
Elkins	엘킨스	elkʰins͈ɯ
Elkmont	엘크몬트	elkʰɯmontʰɯ
Elko	엘코	elkʰo
Elkridge	엘크리지	elkʰɯlid͡ɕi
Elkton	엘크턴	elkʰɯtʰʌn
Ella	엘라	ella
Ellenburg	엘렌버그	ellenbʌgɯ
Ellendale	엘렌데일	ellendeil
Ellensburg	엘렌스버그	ellens͈ɯbʌgɯ
Ellenwood	엘렌우드	ellenudɯ
Ellerslie	엘러슬리	ellʌsɯlli
Ellery	엘러리	ellʌli
Ellesmere	엘즈미어	eld͡ɕɯmiʌ
Ellicott	엘리코트	ellikʰotʰɯ
Ellijay	일라제이	illad͡ɕei
Ellington	엘링턴	elliŋtʰʌn
Ellinwood	엘린우드	ellinudɯ
Elliott	엘리엇	elliʌt
Ellis	엘리스	ellisɯ
Ellisburg	엘리스버그	ellisɯbʌgɯ
Ellisville	엘리스빌	ellisɯbil
Ellsinore	엘시노어	els͈inoʌ
Ellsworth	엘스워스	els͈ɯwʌsɯ
Ellzey	엘지	eld͡ɕi
Elma	엘마	elma
Elmdale	엘름데일	ellɯmdeil
Elmendorf	엘멘도르프	elmendolɯpʰɯ
Elmer	엘머	elmʌ
Elmhurst	엘름허스트	ellɯmhʌsɯtʰɯ
Elmira	엘마이라	elmaila
Elmo	엘모	elmo
Elmont	엘몬트	elmontʰɯ
Elmore	엘모어	elmoʌ
Elmwood	엘름우드	ellɯmudɯ
Elna	엘나	ella
Elon	엘런	ellʌn
Eloy	일로이	illoi
Elrod	엘로드	ellodɯ
Elrosa	엘로사	ellosa
Elroy	엘로이	elloi
Elsa	엘사	els͈a
Elsanor	엘사노어	els͈anoʌ
Elsey	엘시	els͈i
Elsie	엘지	eld͡ɕi
Elsinore	엘시노어	els͈inoʌ
Elsmere	엘스미어	els͈ɯmiʌ
Elsmore	엘즈모어	eld͡ɕɯmoʌ
Elston	엘스턴	els͈ɯtʰʌn
Eltham	엘섬	els͈ʌm
Elton	엘턴	eltʰʌn
Eltopia	엘토피아	eltʰopʰia
Elvan	엘반	elban
Elverta	앨버타	ɛlbʌtʰa
Elvira	엘비라	elbila
Elwha	엘화	elhwa
Elwood	엘우드	eludɯ
Ely	일리	illi
Elyria	일리리아	illilia
Elysian	엘리시안	ellisian
EMACS	이맥스	imɛks͈ɯ
email	이메일	imeil
emart	이마트	imatʰɯ
embassy	엠버시	embʌsi
Emblem	엠블렘	embɯllem
Embudo	엠버도	embʌdo
Emden	엠든	emdɯn
Emelle	에멜레	emelle
emerald	에메랄드	emelaldɯ
Emerald	에머랄드	emʌlaldɯ
Emerson	에머슨	emʌsɯn
Emery	에머리	emʌli
Emeryville	에머리빌	emʌlibil
Emhouse	엠하우스	emhausɯ
Emigrant	에미그랜트	emigɯlɛntʰɯ
emilsion	에멀전	emʌld͡ɕʌn
Emily	에밀리	emilli
eminem	에미넴	eminem
Eminence	에미넌스	eminʌns͈ɯ
Emit	에미트	emitʰɯ
Emma	엠마	emma
Emmaus	엠마우스	emmausɯ
Emmet	에메트	emetʰɯ
Emmett	에밋	emit
Emmitsburg	에미츠버그	emit͡ɕʰɯbʌgɯ
Emmons	에몬스	emons͈ɯ
Emory	에모리	emoli
emoticon	이모티콘	imotʰikʰon
empas	엠파스	empʰasɯ
Empire	엠파이어	empʰaiʌ
Emporia	엠포리아	empʰolia
Emporium	엠포리엄	empʰoliʌm
emulator	에뮬레이터	emjulleitʰʌ
emulsion	이멀션	imʌls͈jʌn
enamel	에나멜	enamel
Encinitas	앤시니타스	ɛns͈initʰasɯ
encore	앙콜	aŋkʰol
Enderby	엔더비	endʌbi
Enderlin	엔더린	endʌlin
Enders	엔더스	endʌsɯ
Endicott	엔디코트	endikʰotʰɯ
