a	e i
exciting	i k s a i tʃ i ŋ
exclude	i k s k l l u d
Exeter	e k s ʌ t ʌ
Exie	e k s i
Exira	e k s i l a
Exline	e k s l l i n
Exmore	e k s m o ʌ
expensive	i k s p e n s i b
expert	e k s p ʌ t
Expo	e k s p o
express	i k s p l e s
extract	e k k i s
Extranet	e k s t l a n e t
eye	a i
Eyota	a i o t a
Ezra	e dʒ l a
f	e p
Fabius	p a b i u s
Fabric	p ɛ b l i k
facebook	p e i s b u k
Facebook	p e i s b u k
Fagus	p e i g ʌ s
Fairbank	p e ʌ b ɛ ŋ k
Fairbanks	p e ʌ b ɛ ŋ k s
Fairborn	p e ʌ b o n
Fairburn	p e ʌ b ʌ n
Fairbury	p e ʌ b e l i
Fairchild	p e ʌ tʃ a i l d
Fairdale	p e ʌ d e i l
Fairfax	p e ʌ p ɛ k s
Fairfield	p e ʌ p i l d
FairfieldBridgeport	p e ʌ p i l d
Fairhaven	p e ʌ h e i b n
Fairholm	p e ʌ h o l l m
Fairhope	p e ʌ h o p
Fairland	p e ʌ l ɛ n d
Fairlawn	p e ʌ l o n
Fairlee	p e ʌ l i
Fairmont	p e ʌ m o n t
Fairmount	p e ʌ m a u n t
Fairplay	p e ʌ p l l e i
Fairpoint	p e ʌ p o i n t
Fairport	p e ʌ p o t
Fairview	p e ʌ b j u
Fairway	p e ʌ w e i
Fairy	p e ʌ l i
Faison	p e i s n
Faith	p e i s
Falcon	p a l k o n
Falkland	p o l k l ɛ n d
Fallis	p o l l i s
Fallon	p o l l ʌ n
Falls	p o l dʒ
Fallsburg	p o l s b ʌ g
Falmouth	p ɛ l m ʌ s
Fame	p e i m
Fancher	p e n tʃ ʌ
Fandon	p ɛ n d ʌ n
Fanlew	p ɛ l l u
Fanny	p a n i
Fanshawe	p ɛ n s j ʌ
fantasy	p a n t a dʒ i
Faraday	p ɛ l ʌ d e i
Farber	p a b ʌ
Fargo	p a g o
Faribault	p e l i b o u
Farista	p a l i s t a
Farley	p a l l i
Farmdale	p a m d e i l
Farmer	p a m ʌ
Farmers	p a m ʌ s
Farmersburg	p a m ʌ s b ʌ g
Farmersville	p a m ʌ s b i l
Farmingdale	p a m i ŋ d e i l
Farmington	p a m i ŋ t ʌ n
Farmland	p a m n ɛ n d
Farmville	p a m b i l
Farnham	p a n ʌ m
Farnsworth	p a n s w ʌ s
Faro	p a l o
Farragut	p ɛ l ʌ g ʌ t
Farrar	p a l a
Farrell	p ɛ l ʌ l
Farris	p ɛ l i s
Farson	p a s
Farwell	p a w e l
fascism	p a s i dʒ m
fascist	p a s i s t
fashion	p ɛ s j ʌ n
fast	p ɛ s t
Fate	p e i t
Fatio	p a tʃ i o
Faucett	p o s e t
Faulkner	p o l k n ʌ
fax	p ɛ k s
Fayette	p a i e t
Fayetteville	p e i t b i l
Fayston	p e i s t ʌ n
Fayville	p e i b i l
FBI	e p b i a i
Featherston	p e d ʌ s t o n
Featherstone	p e d ʌ s t o n
feed	p i d
Feesburg	p i s b ʌ g
feet	p i t
Feilding	p e i l dʒ i ŋ
Felda	p e l d a
Feliciana	p e l l i s i a n a
Felton	p e l t ʌ n
femidom	p e m i d o m
Fenner	p e n ʌ
Fenton	p e n t ʌ n
Fenwick	p e n w i k
Ferdinand	p ʌ dʒ i n a n d
Ferguson	p ʌ g ʌ s n
fermium	p e l m j u m
Fern	p ʌ n
Fernbrook	p ʌ n b l u k
Ferndale	p ʌ n d e i l
Ferney	p ʌ n i
Fernland	p ʌ l l ɛ n d
Fernley	p ʌ l l i
Fernwood	p ʌ n u d
Ferriday	p e l i d e i
Ferris	p e l i s
Ferron	p e l o n
Fertile	p ʌ t l
Fessenden	p e s e n d n
Festina	p e s tʃ i n a
festival	p e s tʃ i b a l
Festus	p e s t ʌ s
Fever	p i b ʌ
Fiatt	p i a t
Fickle	p i k l
Fiddletown	p i d l t a u n
Fields	p i l dʒ
fighting	p a i tʃ i ŋ
Fiji	p i dʒ i
Filbert	p i l b ʌ t
file	p a i l
Filer	p i l l ʌ
Fillmore	p i l m o ʌ
film	p i l l m
Fincastle	p i n k ɛ s l
Fincher	p i n tʃ ʌ
find	p a i n d
Findlay	p i n d l l e i
Fingal	p i ŋ g ʌ l
finger	p i ŋ g ʌ
Finksburg	p i ŋ k s b ʌ g
Finland	p i l l a n d
Finley	p i l l i
Finney	p i n i
FinTech	p i n t e k
Fircrest	p ʌ k l e s t
Firebaugh	p a i ʌ b o
Firefox	p a i ʌ p o k s
Firestone	p a i ʌ s t o n
firmware	p ʌ m w e ʌ
first	p ʌ s t
Firth	p ʌ s
Fishers	p i s j ʌ s
Fishhawk	p i s w i h o k
Fishtail	p i s w i t e i l
Fisk	p i s k
Fitchburg	p i tʃ i b ʌ g
Fitchville	p i tʃ i b i l
Fitler	p i t l l ʌ
fitness	p i t n i s
Fitzgerald	p i tʃ dʒ e l a l d
Fitzhugh	p i tʃ h j u
Fitzpatrick	p i tʃ p e t l i k
Fitzwilliam	p i tʃ w i l l i ʌ m
five	p a i b
Fivepointville	p a i b p o i n t b i l
Flaco	p l l a k o
Flaghole	p l l ɛ g h o l
Flagler	p l l ɛ g l l ʌ
Flagstaff	p l l ɛ g s t ɛ p
Flaherty	p l l ɛ h ʌ tʃ i
Flamingo	p l l a m i ŋ g o
Flanders	p l l ɛ n d ʌ s
flash	p l l ɛ s i
Flasher	p l l ɛ s j ʌ
flashgun	p l l ɛ s i g ʌ n
flashpix	p l l ɛ s i p i k s
flask	p l l a s k
Flats	p l l ɛ tʃ
Flatwoods	p l l ɛ s u dʒ
Fleeton	p l l i t ʌ n
Fleming	p l l e m i ŋ
Flemington	p l l e m i ŋ t ʌ n
Flensburg	p l l e n s b ʌ g
Fletcher	p l l e tʃ ʌ
Flint	p l l i n t
Flintstone	p l l i n t s t o n
flipboard	p l l i p p o d
Flippin	p l l i p i n
floating	p l l o tʃ i ŋ
Floccinaucinihilipilification	p l l o k s i n o s i n a i h i l l i p i l l i p i k e i s j ʌ n
Floe	p l l o
Flomaton	p l l o m e i t ʌ n
Flora	p l l o l a
Florahome	p l l o l a h o m
Florala	p l l o l a l l a
Florence	p l o l e n s
Florid	p l l o l i d
Florida	p l l o l i d a
Floris	p l l o l i s
Florissant	p l l o l i dʒ ʌ n t
flow	p l l o u
Flowers	p l l a w ʌ s
Flowood	p l l o u d
Floyd	p l l o i d
Floydada	p l l o i d a d a
Floydsburg	p l l o i dʒ b ʌ g
fluorine	p l l u o l i n
Flushing	p l l i s i ŋ
flute	p l l u t
Flynn	p l l i n
FM	e p e m
Foch	p o tʃ i
Fola	p o l l a
folder	p o l d ʌ
Foley	p o l l i
Folk	p o k
Follett	p o l l e t
Folsom	p o l s ʌ m
Fonda	p o n d a
Fondis	p o n dʒ i s
Fontana	p o n t a n a
Fontanelle	p o n t a n e l
Fonzo	p o n dʒ o
foodie	p u dʒ i
Footville	p u t p i l
for	p o
Forada	p o l a d a
Foraker	p o l e i k ʌ
Forbes	p o b s
Forbus	p o b ʌ s
Ford	p o d
Fordland	p o d l ɛ n d
Fordyce	p o d a i s
foreign	p o l i n
foreigner	p o l i n ʌ
Foreman	p o ʌ m ɛ n
Forest	p o l e s t
Foresta	p o l e s t a
Forestburg	p o l e s t b ʌ g
Foreston	p o l e s t ʌ n
Forestport	p o l e s t p o t
Forestville	p o l e s t b i l
Forgan	p o g ʌ n
fork	p o k
Forkland	p o k l ɛ n d
Forks	p o k s
Forman	p o m ʌ n
Formosa	p o m o s a
Forney	p o n i
Forrest	p o l e s t
Forsyth	p o s a i s
FORTRAN	p o t l a n
Fortuna	p o l t u n a
Forum	p o l ʌ m
Foscoe	p o s k o
Foshee	p o s w e
Foss	p o s
Fossil	p o s i l
Fosston	p o s t ʌ n
Foster	p o s t ʌ
Fosters	p o s t ʌ s
Fostoria	p o s t o l i a
foundation	p a u n d e i s j ʌ n
Fountain	p a u n tʃ i n
four	p o
Fourteen	p o tʃ i n
Fowler	p a u l l ʌ
Fox	p o k s
Foxboro	p o k s b ʌ l ʌ
Foxborough	p o k s b ʌ l ʌ
Foxhome	p o k s h o m
Foxton	p o k s t ʌ n
Fragaria	p l ɛ dʒ ʌ l i a
Framingham	p l e i m i ŋ h ɛ m
France	p l a ŋ s
Frances	p l ɛ n s i s
Francis	p l ɛ n s i s
Francisco	p l a n s i s k o
francium	p l a ŋ s j u m
Franconia	p l ɛ ŋ k o n i a
Frank	p l ɛ ŋ k
Frankenmuth	p l a ŋ k e n m ʌ s
Frankenstein	p l a ŋ k e n s t a i n
Frankford	p l ɛ ŋ k p ʌ d
Frankfort	p l ɛ ŋ k p ʌ t
Frankfurt	p l a ŋ k p u l t
Franklin	p l ɛ ŋ k l l i n
Franklintown	p l ɛ ŋ k l l i n t a u n
Franklinville	p l ɛ ŋ k l l i n b i l
Frankville	p l ɛ ŋ k b i l
Frannie	p l ɛ n i
Franzen	p l ɛ n dʒ n
Fraser	p l e i dʒ ʌ
Frazee	p l e i dʒ i
Frazier	p l e i dʒ ʌ
Fred	p l e d
Frederica	p l e d ʌ l i k a
Frederick	p l e d ʌ l i k
Fredericksburg	p l e d e l i k s b ʌ g
Fredericktown	p l e d l i k t a u n
Fredericton	p l e d ʌ l i k t ʌ n
Frederika	p l e d e l i k a
Fredonia	p l e d o n i a
free	p l i
Freedom	p l i d ʌ m
freelancer	p l i l ɛ n s ʌ
Freelandville	p l i l ɛ n d b i l
Freeman	p l i m ʌ n
Freeport	p l i p o t
Freer	p l i ʌ
Freestone	p l i s t o n
Freetown	p l i t a u n
Fremantle	p l i m ɛ n t l
Fremont	p l i m o n t
Frenchton	p l e n tʃ i t ʌ n
Frenchtown	p l e n tʃ i t a u n
Frenchville	p l e n tʃ i b i l
Fresno	p l e dʒ n o
Freyburg	p l e i b ʌ g
Fridley	p l a i d l l i
Friedrichshafen	p l i d l i h i s h a p e n
friend	p l e n d
Friend	p l e n d
Friendly	p l e n d l l i
friends	p l e n dʒ
Friendship	p l ɛ n d s i p
Friendsville	p l e n dʒ b i l
Fries	p l i s
Frink	p l i ŋ k
Frisco	p l i s k o
Fritch	p l i tʃ i
Frizzelburg	p l i dʒ l b ʌ g
Frohna	p l o n a
Froid	p l o i d
from	p l o m
Frontenac	p l o n t n a k
Frontier	p l o n tʃ i ʌ
Frost	p l o s t
Frostburg	p l o s t b ʌ g
Frostproof	p l o s t p l u p
Fruita	p l u t a
Fruithurst	p l u t h ʌ s t
Fruitland	p l u t l l ɛ n d
Fruitvale	p l u t p e i l
Fruto	p l u t o
fry	p l a i
Fryburg	p l a i b ʌ g
Fryeburg	p l a i b ʌ g
frypan	p l a i p ɛ n
Fudge	p ʌ dʒ i
Fulda	p u l d a
Fullerton	p u l l ʌ t ʌ n
Fulton	p u l t ʌ n
function	p ʌ ŋ s j ʌ n
Funk	p ʌ ŋ k
Furley	p ʌ l l i
Furman	p ʌ m ʌ n
Furnace	p ʌ n i s
futsal	p u t s a l
Fyffe	p a i p i
g	dʒ i
Gaastra	k ɛ s t l a
Gabbs	k ɛ p s
Gables	k e i b l dʒ
Gaborone	k a b o l o n e
Gackle	k ɛ k l
gadolinium	k a d o l l i n j u m
Gadsden	k ɛ dʒ d ʌ n
Gaffney	k ɛ p n i
gag	k ɛ g
Gage	k e i dʒ i
gagman	k ɛ g m ɛ n
Gahanna	k a h a n a
Gail	k e i l
Gaines	k e i n dʒ
Gainesville	k e i n dʒ b i l
Gaither	k e i d ʌ
Gaithersburg	k e i d ʌ s b ʌ g
galaga	k ɛ l l ʌ g
Galatia	k a l l a tʃ i a
galaxy	k ɛ l l ʌ k s i
Gale	k e i l
Galen	k a l l e n
Galena	k ʌ l l i n a
Galesburg	k e i l dʒ b ʌ g
Galice	k ɛ l l i s
Galion	k a l l i ʌ n
Gallagher	k ɛ l l ʌ g ʌ
Gallant	k ɛ l l ʌ n t
Gallatin	k ɛ l l ʌ tʃ i n
Gallaway	k ɛ l l ʌ w e i
gallery	k ɛ l l ʌ l i
Gallipolis	k a l l i p o l l i s
gallium	k a l l j u m
Galloway	k ɛ l l ʌ w e i
gallry	k ɛ l l ʌ l i
Gallup	k ɛ l l ʌ p
Galt	k o l t
Galva	k a l b a
Galveston	k ɛ l b ʌ s t ʌ n
Galvez	k a l b e dʒ
Galvin	k ɛ l b i n
Gamaliel	k a m a l l i e l
gambel	k ɛ m b l
Gambell	k ɛ m b e l
Gamber	k ɛ m b ʌ
game	k e i m
gamevil	k e i m b i l
Gamewell	k e i m w e l
gamma	k a m m a
Gander	k ɛ n d ʌ
Gandhiism	k a n dʒ i dʒ m
Gandy	k a n dʒ i
gang	k ɛ ŋ
Ganja	k a n dʒ a
Ganotown	k ɛ n o t a u n
Gans	k a n s
Gantt	k ɛ n t
gap	k ɛ p
Gapland	k e i p l l ɛ n d
Garber	k a b ʌ
Garberville	k a b ʌ b i l
garden	k a d n
Gardena	k a d e n a
Gardendale	k a d n d e i l
Gardiner	k a dʒ i n ʌ
Gardner	k a d n ʌ
Garey	k a l e i
Garfield	k a p i l d
Garibaldi	k a l i b a l dʒ i
Garland	k a l l ʌ n d
garlic	k a l l i k
Garnavillo	k a n a b i l l o
Garner	k a n ʌ
garnet	k a n e t
Garnet	k a n e t
Garnett	k a n e t
Garrett	k a l e t
Garrison	k ɛ l i s n
Garryowen	k e l i o w e n
Garvin	k a b i n
Garwin	k a w i n
Garwood	k a u d
gary	k e l i
Gary	k e l i
Garysburg	k ɛ l i s b ʌ g
Garysville	k e l i s b i l
gas	k a s
Gasconade	k ɛ s k ʌ n e i d
Gascoyne	k ɛ s k o i n
Gascozark	k ɛ s k o dʒ a k
gasoline	k a s o l l i n
Gasquet	k ɛ s k e t
Gaston	k ɛ s t ʌ n
Gastonia	k ɛ s t o n i a
gastrocamera	k a s t l o k a m e l a
gate	k e i t
Gates	k e i tʃ
Gatesville	k e i tʃ b i l
Gateway	k e i t w e i
Gatewood	k e i t u d
Gatineau	k a tʃ i n o
Gatlinburg	k ɛ t l l i n b ʌ g
gauge	k e i dʒ i
Gause	k a u s
Gautier	k o tʃ i ʌ
gauze	k ʌ dʒ
gavel	k a b e l
Gaviota	k a b i o t a
gay	k e i
Gay	k e i
Gaya	k a j a
Gaylord	k e i l o d
Gayville	k e i b i l
Gaziantep	k a dʒ i a n t e p
Gazipasa	k a dʒ i p a s a
Gdansk	k d a n s k
GDP	p i
gear	k i ʌ
Gearhart	k i ʌ h a t
Geary	k i ʌ l i
Geddes	k e dʒ i s
Geelong	dʒ ʌ l l o ŋ
Geer	k i ʌ
GeForce	dʒ i p o s
Geiger	k a i g ʌ
Geismar	k a i s m a
Geist	k a i s t
gel	dʒ e l
gelatin	dʒ e l l a tʃ i n
Gem	dʒ e m
generalist	dʒ e n ʌ l ʌ l l i s t
Genesee	dʒ e n e s i
Geneseo	dʒ e n i s i o
Geneva	dʒ e n e b a
genius	dʒ i n i ʌ s
Genlee	dʒ e l l i
Genoa	dʒ e n o b a
Genom	k e n o m
genre	dʒ a ŋ n
gentleman	dʒ e n t l m ɛ n
gentry	dʒ e n t l i
Gentry	dʒ e n t l i
George	dʒ o dʒ i
Georgetown	dʒ o dʒ i t a u n
Georgia	dʒ o dʒ i a
Georgiana	dʒ o l dʒ i a n a
Gerald	dʒ e l a l d
Geraldine	dʒ e l ʌ l dʒ i n
Gering	k ʌ l i ŋ
Gerlaw	k ʌ l l o
German	k e l m a n
Germania	k e l m a n i a
Germantown	dʒ ʌ m ʌ n t a u n
Geronimo	dʒ e l o n i m o
Gestapo	k e s j u t a b o
gesture	dʒ e s tʃ ʌ
get	k e t
Gethsemane	k e t s e m a n e
Gettysburg	k e tʃ i dʒ b ʌ g
Geyer	k a i ʌ
Geyser	k a i dʒ ʌ
Geyserville	k e i s ʌ b i l
Ghana	k a n a
Gheens	k i n s
Ghent	k e n t
ghetto	k e t o
ghost	k o s t
Giard	dʒ i a d
Gibraltar	dʒ i b l o l t ʌ
Gibson	k i p s n
Gibsonville	k i p s n b i l
Gideon	k i dʒ i ʌ n
Giese	k i s
Gifford	k i p ʌ d
Gila	k i l l a
Gilbert	k i l b ʌ t
Gilbertsville	k i l b ʌ tʃ b i l
Gilbertville	k i l b ʌ t b i l
Gilboa	k i l b o a
Gilchrist	k i l k l i s t
Gilead	k i l l i d
Gilford	k i l p o d
Gill	k i l
Gillespie	k i l l e s p i
Gillett	dʒ i l l e t
Gillette	dʒ i l l e t
Gillham	k i l h ɛ m
Gilliam	k i l l i ʌ m
Gillingham	dʒ i l l i ŋ ʌ m
Gillis	k i l l i s
Gillivan	k i l l i b ʌ n
Gilman	k i l m ʌ n
Gilmanton	k i l m ɛ n t ʌ n
Gilmore	k i l m o ʌ
Gilroy	k i l l o i
Gilson	k i l s n
Gilsum	k i l s ʌ m
Gingles	dʒ i ŋ g l s
Gip	k i p
Gippsland	k i p s l l ɛ n d
Gips	k i b s
Gipsy	dʒ i p s i
Girard	dʒ i l a d
girdle	k ʌ d l
girl	k ʌ l
GIRO	dʒ i l o
Girvin	k ʌ b i n
Gisborne	k i dʒ b ʌ n
github	k i t ʌ b
Given	k i b n
Glace	k l l e i s
Glade	k l l e i d
Gladstone	k l l ɛ d s t o n
Glady	k l l ɛ dʒ i
glamour	k l l ɛ m ʌ
Glasco	k l l ɛ s k o
Glasgow	k l l a s g o
glass	k l l a s
Glass	k l l ɛ s
Glastenbury	k l l ɛ s t ʌ n b e l i
Glastonbury	k l l ɛ s t ʌ n b e l i
Gleason	k l l i s n
Glen	k l l e n
Glenarm	k l l e n a m
Glenbrook	k l l e n b l u k
Glencoe	k l l e n k o
Glendale	k l l e n d e i l
Glendive	k l l e n d a i b
Glendon	k l l e n d n
Glendora	k l l e n d o l a
Glenelg	k l l e n e l g
Glenfield	k l l e n p i l d
Glengary	k l l e n g e l i
Glenmora	k l l e n m o l a
Glenmore	k l l e n m o ʌ
Glenn	k l l e n
Glenoma	k l l e n o m a
Glenrock	k l l e l l o k
Glenview	k l l e n b j u
Glenville	k l l e n b i l
Glenwood	k l l e n u d
Glidden	k l l i d n
gliding	k l l a i dʒ i ŋ
global	k l l o b ʌ l
Globe	k l l o b
Glocester	k l l o s t ʌ
glorified	k l l o l i p a i d
Gloster	k l l o s t ʌ
Gloucester	k l l o s t ʌ
glove	k l l ʌ b
Glover	k l l o b ʌ
Gloversville	k l l o b ʌ dʒ b i l
glycerine	k l l i s e l i n
Glynn	k l l i n
Glynwood	k l l i n u d
gmail	dʒ i m e i l
GNS	dʒ i e n e s
go	k o
goal	k o l
goalkeeper	k o l k i p ʌ
Gober	k o b ʌ
Gobler	k o b l l ʌ
God	k a t
Goddard	k o d ʌ d
Godwin	k a s w i n
Goessel	k ʌ s l
Goetz	k o tʃ
Goff	k o p
Goffstown	k o p s t a u n
Golconda	k o l k o n d a
gold	k o l d
Golddust	k o l d d ʌ s t
golden	k o l d n
Golden	k o l d n
Goldendale	k o l d n d e i l
Goldfield	k o l d p i l d
goldfinch	k o l d p i n tʃ i
Goldsby	k o l dʒ b i
Goldsmith	k o l d s m i s
Goldston	k o l d s t ʌ n
Goldville	k o l d b i l
Goleta	k o l l e t a
golf	k o l p
golfer	k o l p ʌ
Golovin	k o l l o b i n
Goltry	k o l t l i
Golva	k o l b a
Goma	k o m a
Gomer	k o m ʌ
gong	k o ŋ
Gonzales	k o n dʒ a l l e s
Goochland	k u tʃ i l l ɛ n d
good	k u t
Good	k u t
Goodbee	k u t p i
Goode	k u d
Goodell	k u d e l
Goodenow	k u n n a u
Gooding	k u dʒ i ŋ
Goodland	k u n n ɛ n d
Goodlettsville	k u d l l e tʃ b i l
Goodman	k u n m ɛ n
Goodnight	k u n n a i t
Goodrich	k u n n i tʃ i
Goodridge	k u n n i dʒ i
Goodson	k u t s n
Goodview	k u t p j u
Goodville	k u t p i l
Goodwater	k u s w ʌ t ʌ
Goodwell	k u d w e l
Goodwill	k u s w i l
Goodwin	k u s w i n
Goodyear	k u s i ʌ
google	k u g l
Google	k u g l
Goondiwindi	k u n d u w i n dʒ i
gopher	k o p ʌ
Gordo	k o l d o
Gordon	k o d n
Gore	k o ʌ
Gorham	k o l ɛ m
gorilla	k o l i l l a
Gorman	k o m ʌ n
Goshen	k o s e n
Gosilla	k o dʒ i l l a
Gosnell	k o s n e l
Gosnold	k o s n ʌ l d
Goss	k o s
Gossett	k o s e t
gossip	k a s i p
got	k a t
Gotham	k o d a m
Gothenburg	k o t e n b ʌ g
Gothic	k o dʒ i k
Goulburn	k o l b ʌ n
Gould	k u l d
Gouldsboro	k u l dʒ b ʌ l o
Gove	k o b
governor	k ʌ b ʌ n ʌ
Gowan	k o w a n
Gower	k o w ʌ
gown	k a u n
Gowrie	k a u l i
Grabill	k l ɛ b i l
Grace	k l e i s
Graceville	k l e i s b i l
Gracey	k l e i s i
Grady	k l ɛ dʒ i
Graettinger	k l ɛ tʃ i ŋ g ʌ
Graf	k l a p
Graff	k l ɛ p
Grafton	k l ɛ p t ʌ n
Gragg	k l ɛ g
Graham	k l e i ʌ m
Grahn	k l ɛ n
Grainfield	k l e i n p i l d
gram	k l ɛ m
Grambling	k l ɛ m b l l i ŋ
grame	k l ɛ m
Gramercy	k l ɛ m ʌ s i
Grammer	k l ɛ m ʌ
Granada	k l a n a d a
Granbury	k l ɛ n b ʌ l i
Granby	k l ɛ n b i
grand	k l ɛ n d
Grandfield	k l ɛ n d p i l d
Grandin	k l ɛ n dʒ i n
Grandview	k l ɛ n d b j u
Grandville	k l ɛ n d b i l
Grandy	k l ɛ n dʒ i
Granger	k l e i n dʒ ʌ
Grangeville	k l ɛ n dʒ i b i l
Granite	k l ɛ n a i t
Graniteville	k l ɛ n i t p i l
Grannis	k l ɛ n i s
Grano	k l e i n o
Grant	k l ɛ n t
Grantham	k l ɛ n s ʌ m
Grants	k l ɛ n tʃ
Granville	k l ɛ n b i l
grapefruit	k l e i p p l u t
Grapevine	k l e i p b a i n
graph	k l ɛ p
graphic	k l ɛ p
Grassy	k l ɛ s i
gratin	k l a t a ŋ
Gratis	k l e i tʃ i s
Gratz	k l a tʃ
Gravely	k l e i b l l i
Gravity	k l ɛ b i tʃ i
gray	k l e i
Grayling	k l e i l i ŋ
Grayridge	k l e i l i dʒ i
Grays	k l e i s
Grayson	k l e i s n
Grayton	k l e i t ʌ n
Graytown	k l e i t a u n
Grayville	k l e i b i l
Graz	k l a tʃ
Greaney	k l i n i
grease	k l i s
great	k l e i t
Greece	k l i s
Greeley	k l i l l i
green	k l i n
Green	k l i n
Greenacres	k l i n e i k ʌ s
Greenbank	k l i n b ɛ ŋ k
greenbelt	k l i n b e l t
Greenbelt	k l i n b e l t
Greenberry	k l i n b e l i
Greenbrae	k l i n b l e
Greenbrier	k l i n b l i ʌ
Greenburgh	k l i n b ʌ
Greenbush	k l i n b u s i
Greencastle	k l i n k ɛ s l
Greendale	k l i n d e i l
Greene	k l i n
Greenevers	k l i n ʌ b ʌ s
Greenfield	k l i n p i l d
Greenford	k l i n p o d
Greenland	k l i l l ɛ n d
Greenleaf	k l i l l i p
Greenmount	k l i n m a u n t
Greenpeace	k l i n p i s
Greenport	k l i n p o t
Greensboro	k l i n dʒ b ʌ l ʌ
Greensburg	k l i n s b ʌ g
Greentop	k l i n t o p
Greentown	k l i n t a u n
Greenup	k l i n ʌ p
Greenville	k l i n b i l
Greenwald	k l i n w ʌ l d
Greenway	k l i n w e i
Greenwich	k l i n i tʃ i
Greenwood	k l i n u d
Greer	k l i ʌ
Gregory	k l e g o l i
Greig	k l e i g
Grenada	k l e n a d a
Grenola	k l e n o l l a
Grenora	k l e n o l a
Gresham	k l e s j ʌ m
Gretna	k l e t n a
Greymouth	k l e i m a u s
Greytown	k l e i t a u n
Grid	k l i d
Grider	k l a i d ʌ
Gridley	k l i d l l i
Griffin	k l i p i n
Griffith	k l i p i s
Grigg	k l i g
Griggstown	k l i k s t a u n
Griggsville	k l i k s b i l
Grimes	k l a i m dʒ
grinder	k l a i n d ʌ
Gringo	k l i ŋ g o
Grinnell	k l i n e l
Griswold	k l i s o l d
Grit	k l i t
Gritney	k l i t n i
Grizzly	k l i dʒ l l i
Groom	k l u m
groove	k l u b
Gross	k l o s
Groton	k l o t ʌ n
Grotto	k l o t o
ground	k l a u n d
group	k l u p
groupware	k l u b w e ʌ
Grouse	k l a u s
grouting	k l a u tʃ i ŋ
Grove	k l o b
Groveland	k l o b l ɛ n d
Grover	k l o b ʌ
Grovetown	k l o b t a u n
Grow	k l o u
Grundy	k l ʌ n dʒ i
Gruver	k l u b ʌ
Guadalajara	k w a d a l l a h a l a
Guadalupe	k w a d a l l u p e
Gualala	k u a l l a l l a
guam	k w a m
Guam	k w a m
guarantee	k ɛ l i n tʃ i
guard	k a d
Guardian	k a dʒ i ʌ n
guardrail	k a d l e i l
Guatay	k w a t a i
Guatemala	k w a t e m a l l a
Guayaquil	k w a j a k i l
Gudgel	k u dʒ e l
Guelph	k w e l p
Guenther	k e n t ʌ
Guernsey	k ʌ n dʒ i
guerrilla	k e l i l l a
guest	k e s t
Gueydan	k e i d n
Guffey	k ʌ p i
guidance	k a i d ʌ n s
guide	k a i d
guidebook	k a i d b u k
guideline	k a i d l a i n
Guilford	k i l p ʌ d
Guin	k w i n
Guinda	k w i n d a
Guion	k i o n
guitar	k i t a
gulf	k ʌ l p
Gulf	k ʌ l p
Gulfport	k ʌ l p p o t
Gully	k ʌ l l i
gum	k ʌ m
Gumboro	k ʌ m b ʌ l o
gun	k ʌ n
Gunder	k ʌ n d ʌ
gundola	k o n d o l l a
Gunlock	k ʌ l l o k
Gunnison	k u n i s n
Guntersville	k ʌ n t ʌ s b i l
Gurley	k ʌ l l i
Gurney	k ʌ n i
Gus	k ʌ s
Gustine	k u s tʃ i n
Guston	k ʌ s t ʌ n
Guthrie	k ʌ s l i
Gutman	k ʌ t m ʌ n
Guttenberg	k u t e n b ʌ g
guy	k a i
Guymon	k a i m ʌ n
Guys	k a i dʒ
Guyton	k a i t ʌ n
Gwinner	k w i n ʌ
Gwynneville	w a i n b i l
Gymnasium	k i m n a dʒ i u m
Gympie	dʒ i m p i
Gypsum	dʒ i p s ʌ m
Gypsy	dʒ i p s i
gyroscope	dʒ a i l o s k o p
h	e i tʃ i
Haast	h a s t
Hacienda	h a s i e n d a
Hackberry	h ɛ k p e l i
Hackensack	h ɛ k ʌ n s ɛ k
hacker	h ɛ k ʌ
Hackett	h ɛ k e t
Hackettstown	h ɛ k ʌ tʃ t a u n
hacking	h ɛ k i ŋ
hacktivism	h ɛ k tʃ i b i dʒ m
Hacoda	h a k o d a
Haddam	h ɛ d ʌ m
Haddock	h ɛ d ʌ k
Hader	h e i d ʌ
Hadley	h ɛ d l l i
hafnium	h a p n j u m
Hagan	h e i g ʌ n
Hagarstown	h ɛ g ʌ s t a u n
Hager	h ɛ g ʌ
Hagerstown	h ɛ g ʌ s t a u n
Haggard	h ɛ g a d
Hague	h e i g
Hahira	h a h i l a
Hahnville	h a n b i l
Haiku	h a i k u
Haile	h e i l
Hailey	h e i l l i
Haines	h e i n dʒ
Haiti	a i tʃ i
Hakalau	h a k a l l a u
Hakodate	h a k o d a t e
Halcyon	h a l s a i o n
Hale	h e i l
Halethorpe	h e i l s o p
Haleysburg	h a l l i s b ʌ g
Haleyville	h e i l l i b i l
Halfa	h a l p a
Halifax	h ɛ l l i p ɛ k s
hall	h o l
Hall	h o l
Hallett	h o l l e t
Halliday	h o l l i d e i
Hallie	h a l l i
Hallock	h ɛ l l o k
halloween	h a l l o w i n
Hallowell	h a l l o w e l
Halls	h o l s
Halltown	h o l t a u n
Hallwood	h o l u d
Halma	h ɛ l m a
Halo	h e i l l o
Halsey	h ɛ l s i
Halstead	h a l s t e d
Hamberg	h ɛ m b ʌ g
